Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,770.820007,771.599976,761.400024,767.690002,767.690002,430824500
2020-01-03,767.750000,769.390015,761.250000,763.580017,763.580017,603750100
2020-01-06,763.229980,763.570007,759.030029,762.099976,762.099976,598804000
2020-01-07,762.869995,764.039978,754.510010,756.729980,756.729980,751637900
2020-01-08,755.679993,755.950012,745.359985,749.010010,749.010010,764791800
2020-01-09,749.989990,753.520020,743.830017,750.549988,750.549988,796722800
2020-01-10,752.039978,754.570007,750.940002,754.570007,754.570007,975879700
2020-01-13,755.780029,758.070007,751.119995,755.630005,755.630005,829445000
2020-01-14,757.020020,757.229980,751.859985,757.229980,757.229980,1018594900
2020-01-15,756.549988,757.020020,746.630005,750.539978,750.539978,1212774500
2020-01-16,750.609985,758.690002,749.989990,758.690002,758.690002,942766600
2020-01-17,759.099976,759.400024,753.190002,755.640015,755.640015,890299900
2020-01-20,755.590027,757.580017,747.909973,750.830017,750.830017,819233500
2020-01-21,749.900024,750.919983,745.219971,748.830017,748.830017,835451400
2020-01-22,748.719971,752.049988,743.969971,750.210022,750.210022,931396800
2020-01-23,750.020020,751.229980,742.760010,745.219971,745.219971,744926200
2020-01-24,745.619995,746.880005,740.039978,741.150024,741.150024,927150100
2020-01-27,741.080017,741.789978,730.229980,731.690002,731.690002,549041400
2020-01-28,732.719971,732.719971,732.719971,732.719971,732.719971,0
2020-01-29,734.109985,737.729980,729.719971,732.690002,732.690002,546275400
2020-01-30,728.669983,728.669983,728.669983,728.669983,728.669983,0
2020-01-31,729.190002,729.460022,716.390015,722.729980,722.729980,661994500
2020-02-03,721.770020,722.200012,713.039978,716.150024,716.150024,731953900
2020-02-04,718.219971,719.770020,712.539978,712.539978,712.539978,579634000
2020-02-05,714.070007,716.820007,709.429993,712.159973,712.159973,672088300
2020-02-06,715.380005,715.380005,715.380005,715.380005,715.380005,0
2020-02-07,715.059998,720.229980,714.799988,719.799988,719.799988,614337300
2020-02-10,719.450012,719.539978,710.729980,710.729980,710.729980,476212300
2020-02-11,709.409973,709.409973,709.409973,709.409973,709.409973,0
2020-02-12,709.849976,712.059998,702.229980,702.229980,702.229980,492950100
2020-02-13,702.710022,704.239990,693.750000,699.429993,699.429993,729840700
2020-02-14,698.390015,704.409973,698.099976,704.409973,704.409973,626103400
2020-02-17,705.250000,706.169983,696.859985,700.450012,700.450012,576713200
2020-02-18,700.460022,703.159973,698.570007,702.940002,702.940002,387151000
2020-02-19,704.849976,704.849976,704.849976,704.849976,704.849976,0
2020-02-20,705.169983,706.989990,700.940002,704.200012,704.200012,494033300
2020-02-21,704.450012,705.780029,693.799988,695.179993,695.179993,648409900
2020-02-24,692.710022,692.710022,683.679993,688.820007,688.820007,594521700
2020-02-25,688.219971,690.390015,684.830017,688.750000,688.750000,764597100
2020-02-26,686.909973,688.090027,678.650024,682.239990,682.239990,732193600
2020-02-27,681.669983,683.070007,671.539978,676.880005,676.880005,914768900
2020-02-28,672.840027,672.840027,658.000000,671.289978,671.289978,785171500
2020-03-02,671.849976,674.630005,663.549988,667.309998,667.309998,551950900
2020-03-03,670.070007,679.150024,668.419983,677.330017,677.330017,887314800
2020-03-04,677.179993,685.000000,675.349976,685.000000,685.000000,902780100
2020-03-05,686.409973,690.390015,673.229980,677.710022,677.710022,551251800
2020-03-06,676.849976,676.919983,665.919983,665.940002,665.940002,564661700
2020-03-09,658.739990,658.739990,634.929993,640.979980,640.979980,749403800
2020-03-10,640.979980,647.460022,638.150024,643.469971,643.469971,889960600
2020-03-11,644.210022,645.760010,628.679993,632.960022,632.960022,761286100
2020-03-12,628.380005,628.380005,606.169983,606.299988,606.299988,513872100
2020-03-13,606.299988,608.369995,588.010010,607.760010,607.760010,581787800
2020-03-16,607.760010,607.760010,588.710022,591.280029,591.280029,436868500
2020-03-17,591.280029,591.280029,575.130005,577.760010,577.760010,350469900
2020-03-18,577.760010,577.760010,569.520020,577.630005,577.630005,590335300
2020-03-19,577.630005,578.070007,553.440002,560.159973,560.159973,407098800
2020-03-20,560.159973,569.880005,544.909973,569.880005,569.880005,674431400
2020-03-23,550.309998,550.309998,550.309998,550.309998,550.309998,0
2020-03-24,550.309998,554.599976,541.979980,549.739990,549.739990,448900600
2020-03-26,549.739990,574.320007,549.469971,569.710022,569.710022,848408900
2020-03-27,569.710022,589.460022,569.710022,580.679993,580.679993,1000618000
2020-03-30,580.679993,580.679993,562.690002,573.700012,573.700012,383424300
2020-03-31,573.700012,602.270020,573.460022,602.270020,602.270020,555088500
2020-04-01,602.270020,606.299988,591.450012,591.450012,591.450012,511892600
2020-04-02,591.450012,594.510010,586.710022,594.510010,594.510010,743785500
2020-04-03,594.510010,601.700012,594.489990,596.609985,596.609985,653939300
2020-04-06,596.609985,612.159973,596.520020,608.320007,608.320007,720188400
2020-04-07,608.270020,608.270020,608.270020,608.270020,608.270020,0
2020-04-08,608.270020,608.619995,596.440002,600.539978,600.539978,491951300
2020-04-09,600.539978,601.609985,591.719971,597.270020,597.270020,823910000
2020-04-13,597.270020,600.450012,593.450012,599.909973,599.909973,563398400
2020-04-14,599.909973,609.119995,599.809998,609.119995,609.119995,1110573000
2020-04-15,609.119995,613.950012,600.059998,602.960022,602.960022,1017632700
2020-04-16,592.250000,592.250000,592.250000,592.250000,592.250000,0
2020-04-17,592.250000,601.080017,591.890015,601.080017,601.080017,999686600
2020-04-20,601.080017,603.719971,595.400024,599.760010,599.760010,665606800
2020-04-21,599.760010,599.830017,584.739990,586.770020,586.770020,744003900
2020-04-22,586.770020,589.119995,578.840027,589.119995,589.119995,687431500
2020-04-23,589.119995,595.179993,588.679993,592.830017,592.830017,820592000
2020-04-24,592.830017,593.150024,586.030029,588.400024,588.400024,991547900
2020-04-27,588.400024,591.729980,585.109985,588.179993,588.179993,455513200
2020-04-28,588.179993,591.849976,581.770020,591.849976,591.849976,585946200
2020-04-29,591.849976,592.739990,588.229980,589.150024,589.150024,665833700
2020-04-30,589.150024,606.940002,589.150024,606.940002,606.940002,822390800
2020-05-04,606.940002,607.010010,587.869995,591.619995,591.619995,444872800
2020-05-05,591.619995,596.859985,590.119995,594.169983,594.169983,552805800
2020-05-06,594.169983,596.109985,589.200012,591.969971,591.969971,458388300
2020-05-08,591.969971,593.380005,588.159973,590.260010,590.260010,530801400
2020-05-11,590.260010,597.239990,590.140015,592.669983,592.669983,669602100
2020-05-12,592.669983,595.099976,587.270020,589.460022,589.460022,644362100
2020-05-13,589.460022,589.969971,582.429993,583.229980,583.229980,697530100
2020-05-14,583.229980,589.559998,580.299988,589.559998,589.559998,902972700
2020-05-15,589.559998,592.270020,580.770020,586.520020,586.520020,645404300
2020-05-18,586.520020,588.770020,582.940002,586.270020,586.270020,585173900
2020-05-19,586.270020,593.219971,584.169983,588.030029,588.030029,531296800
2020-05-20,588.030029,589.780029,582.229980,587.119995,587.119995,612844900
